Zip Code,Number of Returns,Adjusted gross income (AGI)
15687,  641 ,"  35,146 "
15688,  364 ,"  12,335 "
15690,"  4,358 ","  153,957 "
15692,  494 ,"  18,186 "
15696,  358 ,"  14,405 "
15697,"  1,622 ","  57,530 "
15698,  405 ,"  13,457 "
15701,"  12,887 ","  778,295 "
15714,"  2,889 ","  106,198 "
15715,  303 ,"  9,091 "
15716,  381 ,"  11,764 "
15717,"  4,888 ","  217,789 "
15722,"  1,112 ","  44,686 "
15724,"  1,062 ","  36,850 "
15725,  685 ,"  29,758 "
15728,"  1,713 ","  61,528 "
15729,  641 ,"  22,529 "
15732,  791 ,"  32,959 "
15736,  313 ,"  13,087 "
15737,  296 ,"  8,305 "
15742,  421 ,"  14,887 "
15747,  948 ,"  44,885 "
15748,"  3,467 ","  134,111 "
15754,  287 ,"  9,402 "
15757,  754 ,"  26,110 "
15759,"  1,188 ","  50,193 "
15762,  454 ,"  19,876 "
15765,  824 ,"  37,953 "
15767,"  6,626 ","  297,382 "
15771,  423 ,"  15,785 "
15772,  704 ,"  24,437 "
15774,"  1,531 ","  69,680 "
15801,"  9,711 ","  459,084 "
15823,  740 ,"  28,685 "
15824,"  2,603 ","  128,752 "
15825,"  4,673 ","  212,893 "
15829,  634 ,"  25,434 "
15834,"  2,323 ","  84,793 "
15840,  997 ,"  34,277 "
15845,"  1,684 ","  62,857 "
15846,"  1,677 ","  68,461 "
15848,  506 ,"  17,269 "
15849,  693 ,"  23,962 "
15851,"  3,189 ","  114,111 "
15853,"  3,395 ","  135,360 "
15856,  447 ,"  18,630 "
15857,"  7,079 ","  314,379 "
15860,  578 ,"  20,999 "
15864,  902 ,"  34,505 "
15865,  588 ,"  20,398 "
15868,  691 ,"  27,266 "
15870,  685 ,"  27,462 "
15901,"  1,690 ","  36,402 "
15902,"  5,783 ","  164,264 "
15904,"  7,522 ","  394,025 "
15905,"  10,734 ","  577,614 "
15906,"  5,151 ","  149,004 "
15909,"  2,728 ","  98,484 "
15920,  506 ,"  20,118 "
15921,  407 ,"  12,324 "
15923,  778 ,"  32,567 "
15924,  478 ,"  17,185 "
15926,"  1,286 ","  52,353 "
15927,  566 ,"  19,413 "
15928,  990 ,"  48,310 "
15931,"  4,276 ","  210,851 "
15935,"  1,317 ","  52,485 "
15936,  735 ,"  28,324 "
15937,  351 ,"  12,531 "
15938,"  1,197 ","  47,786 "
15940,  825 ,"  36,927 "
15942,"  1,040 ","  43,991 "
15943,"  1,761 ","  62,201 "
15944,"  1,514 ","  64,507 "
15946,"  3,409 ","  132,965 "
15948,  284 ,"  9,987 "
15949,  342 ,"  11,661 "
15951,  295 ,"  9,141 "
15952,  706 ,"  28,071 "
15954,"  1,011 ","  37,503 "
15955,  959 ,"  40,094 "
15956,"  1,357 ","  47,576 "
15957,  258 ,"  9,517 "
15958,"  1,077 ","  45,975 "
15961,  483 ,"  16,423 "
15963,"  5,440 ","  211,310 "
16001,"  20,243 ","  920,846 "
16002,"  7,679 ","  466,104 "
16020,  557 ,"  23,501 "
16022,  259 ,"  10,901 "
16023,"  2,153 ","  94,046 "
16025,"  2,689 ","  124,887 "
16028,  901 ,"  33,781 "
16029,  374 ,"  14,390 "
16033,"  3,101 ","  155,822 "
16034,  961 ,"  41,194 "
16037,"  2,282 ","  132,666 "
16038,"  1,582 ","  61,518 "
16040,  438 ,"  15,615 "
16041,  915 ,"  38,839 "
16045,  620 ,"  19,316 "
16046,"  6,471 ","  607,129 "
16049,"  1,466 ","  54,656 "
16050,  655 ,"  26,941 "
16051,"  1,609 ","  78,107 "
16052,"  1,267 ","  60,919 "
16053,"  2,028 ","  114,768 "
16055,"  4,167 ","  240,746 "
16056,"  2,549 ","  124,834 "
16057,"  4,660 ","  222,306 "
16059,"  4,103 ","  245,183 "
16061,"  1,358 ","  59,961 "
16063,"  3,756 ","  202,182 "
16066,"  13,425 ","  1,057,077 "
16101,"  14,925 ","  535,861 "
16102,"  2,632 ","  102,261 "
16105,"  7,714 ","  431,489 "
16111,  494 ,"  17,191 "
16112,  771 ,"  28,048 "
16114,  293 ,"  10,383 "
16115,"  1,659 ","  69,851 "
16116,"  1,379 ","  53,615 "
16117,"  8,495 ","  351,623 "
16120,"  1,103 ","  48,657 "
16121,"  2,168 ","  61,529 "
16123,"  1,134 ","  57,403 "
16124,  917 ,"  35,289 "
16125,"  8,124 ","  325,324 "
16127,"  6,695 ","  301,786 "
