PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
17302,"$50,000 under $75,000",230,14454
17302,"$75,000 under $100,000",147,12649
17302,"$100,000 under $200,000",136,19168
17302,"$200,000 or more",**,**
,,,
17304,,"1,277","58,975"
17304,"$1 under $25,000",467,5798
17304,"$25,000 under $50,000",356,12759
17304,"$50,000 under $75,000",232,14272
17304,"$75,000 under $100,000",116,9967
17304,"$100,000 under $200,000",106,16179
17304,"$200,000 or more",**,**
,,,
17307,,"2,629","118,489"
17307,"$1 under $25,000",1043,12182
17307,"$25,000 under $50,000",666,23758
17307,"$50,000 under $75,000",423,26194
17307,"$75,000 under $100,000",278,24066
17307,"$100,000 under $200,000",193,23854
17307,"$200,000 or more",** 26,"** 8,435"
,,,
17309,,969,"44,901"
17309,"$1 under $25,000",343,4010
17309,"$25,000 under $50,000",263,9582
17309,"$50,000 under $75,000",169,10437
17309,"$75,000 under $100,000",97,8241
17309,"$100,000 under $200,000",97,12631
17309,"$200,000 or more",**,**
,,,
17313,,"5,102","253,764"
17313,"$1 under $25,000",1845,22142
17313,"$25,000 under $50,000",1320,47600
17313,"$50,000 under $75,000",850,52397
17313,"$75,000 under $100,000",560,48271
17313,"$100,000 under $200,000",471,59104
17313,"$200,000 or more",** 56,"** 24,250"
,,,
17314,,"2,580","129,845"
17314,"$1 under $25,000",882,10660
17314,"$25,000 under $50,000",631,23001
17314,"$50,000 under $75,000",467,28880
17314,"$75,000 under $100,000",291,25113
17314,"$100,000 under $200,000",289,37117
17314,"$200,000 or more",20,5074
,,,
17315,,"12,697","601,236"
17315,"$1 under $25,000",4615,55750
17315,"$25,000 under $50,000",3276,119975
17315,"$50,000 under $75,000",2249,139645
17315,"$75,000 under $100,000",1475,127070
17315,"$100,000 under $200,000",979,122388
17315,"$200,000 or more",103,36408
,,,
17316,,"3,944","214,977"
17316,"$1 under $25,000",1307,15298
17316,"$25,000 under $50,000",902,33345
17316,"$50,000 under $75,000",697,43305
17316,"$75,000 under $100,000",507,43801
17316,"$100,000 under $200,000",471,59758
17316,"$200,000 or more",60,19470
,,,
17319,,"5,310","293,940"
17319,"$1 under $25,000",1651,18828
17319,"$25,000 under $50,000",1249,46022
17319,"$50,000 under $75,000",932,57626
17319,"$75,000 under $100,000",686,59620
17319,"$100,000 under $200,000",716,91198
17319,"$200,000 or more",76,20646
,,,
17320,,"3,858","219,155"
17320,"$1 under $25,000",1253,14993
17320,"$25,000 under $50,000",854,31525
17320,"$50,000 under $75,000",672,41801
17320,"$75,000 under $100,000",502,43460
17320,"$100,000 under $200,000",528,66807
17320,"$200,000 or more",49,20569
,,,
17321,,"1,070","61,225"
17321,"$1 under $25,000",342,3848
17321,"$25,000 under $50,000",226,8281
17321,"$50,000 under $75,000",175,10912
17321,"$75,000 under $100,000",156,13524
17321,"$100,000 under $200,000",171,24660
17321,"$200,000 or more",**,**
,,,
17322,,"2,852","148,358"
17322,"$1 under $25,000",982,11411
17322,"$25,000 under $50,000",649,23600
17322,"$50,000 under $75,000",506,31464
17322,"$75,000 under $100,000",359,30949
17322,"$100,000 under $200,000",318,39930
17322,"$200,000 or more",** 38,"** 11,004"
,,,
17324,,"2,165","97,137"
17324,"$1 under $25,000",806,9911
17324,"$25,000 under $50,000",592,21509
17324,"$50,000 under $75,000",410,25550
17324,"$75,000 under $100,000",207,17778
17324,"$100,000 under $200,000",130,16513
17324,"$200,000 or more",20,5876
,,,
17325,,"12,660","662,320"
17325,"$1 under $25,000",5010,59490
17325,"$25,000 under $50,000",2979,107536
17325,"$50,000 under $75,000",1871,115512
17325,"$75,000 under $100,000",1175,101526
17325,"$100,000 under $200,000",1322,174232
17325,"$200,000 or more",303,104024
,,,
17327,,"3,740","204,566"
17327,"$1 under $25,000",1387,15579
17327,"$25,000 under $50,000",803,29200
17327,"$50,000 under $75,000",582,35931
17327,"$75,000 under $100,000",387,33351
17327,"$100,000 under $200,000",503,66634
17327,"$200,000 or more",78,23871
,,,
17329,,"1,262","76,052"
17329,"$1 under $25,000",385,4236
17329,"$25,000 under $50,000",249,9075
17329,"$50,000 under $75,000",220,13773
17329,"$75,000 under $100,000",180,15538
17329,"$100,000 under $200,000",206,26997
17329,"$200,000 or more",22,6433
,,,
17331,,"26,005","1,335,513"
17331,"$1 under $25,000",9664,111737
17331,"$25,000 under $50,000",6608,239270
17331,"$50,000 under $75,000",4238,262771
17331,"$75,000 under $100,000",2745,237023
17331,"$100,000 under $200,000",2388,306290
17331,"$200,000 or more",362,178422
,,,
17339,,"3,479","253,252"
17339,"$1 under $25,000",1070,12170
17339,"$25,000 under $50,000",737,27159
17339,"$50,000 under $75,000",542,33635
17339,"$75,000 under $100,000",442,38437
17339,"$100,000 under $200,000",535,70555
17339,"$200,000 or more",153,71296
,,,
17340,,"5,243","267,588"
17340,"$1 under $25,000",1901,22026
17340,"$25,000 under $50,000",1247,45351
17340,"$50,000 under $75,000",837,51912
17340,"$75,000 under $100,000",601,51917
17340,"$100,000 under $200,000",597,76203
17340,"$200,000 or more",60,20179
,,,
17344,,"1,760","66,117"
17344,"$1 under $25,000",754,9079
17344,"$25,000 under $50,000",506,18435
17344,"$50,000 under $75,000",294,17955
17344,"$75,000 under $100,000",131,11137
17344,"$100,000 under $200,000",75,9511
17344,"$200,000 or more",**,**
,,,
17345,,"3,911","165,882"
17345,"$1 under $25,000",1532,19591
17345,"$25,000 under $50,000",1130,41438
17345,"$50,000 under $75,000",624,38536
17345,"$75,000 under $100,000",388,33328
17345,"$100,000 under $200,000",237,32989
17345,"$200,000 or more",**,**
,,,
17347,,"2,883","158,392"
17347,"$1 under $25,000",902,10941
17347,"$25,000 under $50,000",664,24505
17347,"$50,000 under $75,000",521,32454
17347,"$75,000 under $100,000",420,36338
17347,"$100,000 under $200,000",355,44525
17347,"$200,000 or more",** 21,"** 9,629"
,,,
17349,,"3,879","271,254"
17349,"$1 under $25,000",1173,12634
17349,"$25,000 under $50,000",678,25006
17349,"$50,000 under $75,000",564,34949
17349,"$75,000 under $100,000",509,44210
17349,"$100,000 under $200,000",826,110545
17349,"$200,000 or more",129,43910
,,,
17350,,"6,158","271,894"
17350,"$1 under $25,000",2434,29145
17350,"$25,000 under $50,000",1709,61894
17350,"$50,000 under $75,000",998,61659
17350,"$75,000 under $100,000",577,49350
17350,"$100,000 under $200,000",382,47962
17350,"$200,000 or more",58,21884
,,,
17352,,617,"33,590"
17352,"$1 under $25,000",211,2465
17352,"$25,000 under $50,000",135,5008
17352,"$50,000 under $75,000",101,6295
17352,"$75,000 under $100,000",82,7032
17352,"$100,000 under $200,000",88,12790
17352,"$200,000 or more",**,**
,,,
17353,,1547,"78,284"
17353,"$1 under $25,000",598,6993
17353,"$25,000 under $50,000",372,13566
17353,"$50,000 under $75,000",239,14701
17353,"$75,000 under $100,000",170,14705
17353,"$100,000 under $200,000",145,18623
17353,"$200,000 or more",** 23,"** 9,696"
,,,
17356,,"10,828","548,081"
17356,"$1 under $25,000",3956,46697
17356,"$25,000 under $50,000",2674,97136
17356,"$50,000 under $75,000",1799,111513
17356,"$75,000 under $100,000",1179,101887
17356,"$100,000 under $200,000",1089,139055
17356,"$200,000 or more",131,51793
,,,
17360,,"2,574","156,505"
17360,"$1 under $25,000",810,9230
17360,"$25,000 under $50,000",528,19528
17360,"$50,000 under $75,000",418,25855
17360,"$75,000 under $100,000",345,30081
17360,"$100,000 under $200,000",424,54645
17360,"$200,000 or more",49,17166
,,,
17361,,"2,866","174,687"
17361,"$1 under $25,000",945,10130
17361,"$25,000 under $50,000",515,19304
17361,"$50,000 under $75,000",480,29943
17361,"$75,000 under $100,000",365,31959
17361,"$100,000 under $200,000",505,67224
17361,"$200,000 or more",56,16127
,,,
17362,,"6,670","353,085"
17362,"$1 under $25,000",2328,26653
17362,"$25,000 under $50,000",1488,54406
17362,"$50,000 under $75,000",1176,73012
17362,"$75,000 under $100,000",822,70765
17362,"$100,000 under $200,000",763,97369
17362,"$200,000 or more",93,30880
,,,
17363,,"4,515","279,395"
17363,"$1 under $25,000",1425,16097
17363,"$25,000 under $50,000",858,31786
17363,"$50,000 under $75,000",726,45351
17363,"$75,000 under $100,000",625,54393
17363,"$100,000 under $200,000",805,106474
17363,"$200,000 or more",76,25294
,,,
17364,,"1,885","85,955"
17364,"$1 under $25,000",752,8993
17364,"$25,000 under $50,000",482,17576
17364,"$50,000 under $75,000",315,19404
17364,"$75,000 under $100,000",182,15814
17364,"$100,000 under $200,000",154,24168
17364,"$200,000 or more",**,**
,,,
17365,,"1,303","70,272"
17365,"$1 under $25,000",430,5133
17365,"$25,000 under $50,000",330,12140
17365,"$50,000 under $75,000",232,14505
17365,"$75,000 under $100,000",144,12290
17365,"$100,000 under $200,000",143,18609
17365,"$200,000 or more",24,7595
,,,
17366,,"2,613","113,444"
17366,"$1 under $25,000",994,12426
17366,"$25,000 under $50,000",704,25563
17366,"$50,000 under $75,000",475,29284
17366,"$75,000 under $100,000",259,22263
17366,"$100,000 under $200,000",181,23908
17366,"$200,000 or more",**,**
,,,
17368,,"3,651","189,185"
17368,"$1 under $25,000",1280,15718
17368,"$25,000 under $50,000",995,35705
17368,"$50,000 under $75,000",639,39112
17368,"$75,000 under $100,000",368,31946
17368,"$100,000 under $200,000",304,38455
17368,"$200,000 or more",** 65,"** 28,249"
,,,
17370,,"2,854","137,856"
17370,"$1 under $25,000",1024,12419
17370,"$25,000 under $50,000",696,25128
17370,"$50,000 under $75,000",515,31858
17370,"$75,000 under $100,000",337,29215
17370,"$100,000 under $200,000",261,32603
17370,"$200,000 or more",21,6633
,,,
17372,,"1,977","99,210"
17372,"$1 under $25,000",742,9524
17372,"$25,000 under $50,000",504,18542
17372,"$50,000 under $75,000",318,19755
17372,"$75,000 under $100,000",216,18515
17372,"$100,000 under $200,000",197,32874
17372,"$200,000 or more",**,**
,,,
17401,,"7,516","179,410"
17401,"$1 under $25,000",4985,60896
17401,"$25,000 under $50,000",1931,65376
17401,"$50,000 under $75,000",385,23019
17401,"$75,000 under $100,000",124,10605
17401,"$100,000 under $200,000",91,19514
17401,"$200,000 or more",**,**
,,,
17402,,"16,481","976,367"
17402,"$1 under $25,000",5761,65926
17402,"$25,000 under $50,000",3745,136362
17402,"$50,000 under $75,000",2488,154231
17402,"$75,000 under $100,000",1798,155915
17402,"$100,000 under $200,000",2198,291075
17402,"$200,000 or more",** 491,"** 172,858"
,,,
17403,,"17,413","1,008,503"
17403,"$1 under $25,000",7668,91034
17403,"$25,000 under $50,000",4158,148289
17403,"$50,000 under $75,000",2145,132781
17403,"$75,000 under $100,000",1346,116509
17403,"$100,000 under $200,000",1517,202887
17403,"$200,000 or more",579,317003
,,,
17404,,"17,317","869,341"
17404,"$1 under $25,000",6823,82430
17404,"$25,000 under $50,000",4538,164614
17404,"$50,000 under $75,000",2549,156752
17404,"$75,000 under $100,000",1445,124717
17404,"$100,000 under $200,000",1598,209776
17404,"$200,000 or more",364,131052
,,,
17406,,"11,462","616,262"
17406,"$1 under $25,000",4012,48549
17406,"$25,000 under $50,000",2929,107237
17406,"$50,000 under $75,000",1993,123058
17406,"$75,000 under $100,000",1278,110297
17406,"$100,000 under $200,000",1056,136530
17406,"$200,000 or more",194,90591
,,,
17407,,"1,040","62,591"
17407,"$1 under $25,000",335,3762
17407,"$25,000 under $50,000",195,7097
17407,"$50,000 under $75,000",161,9973
17407,"$75,000 under $100,000",145,12499
17407,"$100,000 under $200,000",204,29260
17407,"$200,000 or more",**,**
,,,
17408,,"11,379","616,495"
17408,"$1 under $25,000",3799,43471
17408,"$25,000 under $50,000",2618,96987
17408,"$50,000 under $75,000",2031,125997
17408,"$75,000 under $100,000",1440,124964
17408,"$100,000 under $200,000",1320,168849
17408,"$200,000 or more",** 171,"** 56,227"
,,,
17501,,"2,233","99,122"
17501,"$1 under $25,000",852,10021
17501,"$25,000 under $50,000",612,22001
17501,"$50,000 under $75,000",387,24003
17501,"$75,000 under $100,000",218,18483
17501,"$100,000 under $200,000",164,24614
17501,"$200,000 or more",**,**
,,,
17502,,"1,255","63,040"
17502,"$1 under $25,000",461,5773
17502,"$25,000 under $50,000",317,11647
17502,"$50,000 under $75,000",208,12808
17502,"$75,000 under $100,000",141,12108
17502,"$100,000 under $200,000",128,20704
17502,"$200,000 or more",**,**
,,,
17505,,764,"39,842"
17505,"$1 under $25,000",317,3660
17505,"$25,000 under $50,000",221,7997
17505,"$50,000 under $75,000",102,6132
17505,"$75,000 under $100,000",50,4334
17505,"$100,000 under $200,000",48,6615
17505,"$200,000 or more",26,11104
,,,
17508,,586,"31,733"
17508,"$1 under $25,000",204,2122
17508,"$25,000 under $50,000",129,4519
17508,"$50,000 under $75,000",91,5477
17508,"$75,000 under $100,000",81,7008
17508,"$100,000 under $200,000",81,12607
17508,"$200,000 or more",**,**
,,,
17509,,1830,"86,326"
17509,"$1 under $25,000",758,9063
17509,"$25,000 under $50,000",477,17351
17509,"$50,000 under $75,000",260,15959
17509,"$75,000 under $100,000",160,13797
17509,"$100,000 under $200,000",147,18638
17509,"$200,000 or more",** 28,"** 11,518"
,,,
17512,,"8,561","358,968"
17512,"$1 under $25,000",3730,44451
17512,"$25,000 under $50,000",2282,82517
17512,"$50,000 under $75,000",1232,75962
17512,"$75,000 under $100,000",684,58695
17512,"$100,000 under $200,000",560,71363
17512,"$200,000 or more",73,25980
,,,
17516,,"2,248","128,554"
17516,"$1 under $25,000",838,9352
17516,"$25,000 under $50,000",480,17598
17516,"$50,000 under $75,000",402,24917
17516,"$75,000 under $100,000",249,21663
17516,"$100,000 under $200,000",229,28931
17516,"$200,000 or more",50,26093
,,,
17517,,"7,155","372,279"
17517,"$1 under $25,000",2474,28404
17517,"$25,000 under $50,000",1776,65020
17517,"$50,000 under $75,000",1281,78933
17517,"$75,000 under $100,000",798,68923
17517,"$100,000 under $200,000",713,91163
17517,"$200,000 or more",113,39836
,,,
17518,,491,"25,035"
17518,"$1 under $25,000",172,2225
17518,"$25,000 under $50,000",132,4852
17518,"$50,000 under $75,000",90,5576
17518,"$75,000 under $100,000",47,3991
17518,"$100,000 under $200,000",50,8391
17518,"$200,000 or more",**,**
,,,
17519,,2572,"127,441"
17519,"$1 under $25,000",1014,11623
17519,"$25,000 under $50,000",678,24977
17519,"$50,000 under $75,000",406,24948
17519,"$75,000 under $100,000",226,19506
17519,"$100,000 under $200,000",194,25001
17519,"$200,000 or more",** 54,"** 21,386"
,,,
17520,,"2,443","117,459"
17520,"$1 under $25,000",867,10145
17520,"$25,000 under $50,000",630,23170
17520,"$50,000 under $75,000",465,28816
17520,"$75,000 under $100,000",274,23550
17520,"$100,000 under $200,000",184,22749
17520,"$200,000 or more",23,9029
,,,
17522,,"15,285","772,115"
17522,"$1 under $25,000",5798,69619
17522,"$25,000 under $50,000",4141,151349
17522,"$50,000 under $75,000",2606,159802
17522,"$75,000 under $100,000",1481,127416
17522,"$100,000 under $200,000",1065,135892
17522,"$200,000 or more",194,128037
,,,
17527,,"2,784","145,264"
17527,"$1 under $25,000",1081,12217
17527,"$25,000 under $50,000",738,26860
17527,"$50,000 under $75,000",439,27125
17527,"$75,000 under $100,000",244,21060
17527,"$100,000 under $200,000",231,30288
17527,"$200,000 or more",51,27714
,,,
17529,,"1,623","68,552"
17529,"$1 under $25,000",738,8532
17529,"$25,000 under $50,000",470,17193
17529,"$50,000 under $75,000",231,14054
17529,"$75,000 under $100,000",72,6131
17529,"$100,000 under $200,000",82,11093
17529,"$200,000 or more",30,11549
,,,
17532,,"1,575","81,542"
17532,"$1 under $25,000",546,6307
17532,"$25,000 under $50,000",396,14454
17532,"$50,000 under $75,000",291,17993
17532,"$75,000 under $100,000",185,15884
17532,"$100,000 under $200,000",157,26904
17532,"$200,000 or more",**,**
,,,
17535,,"1,060","47,753"
17535,"$1 under $25,000",448,5084
17535,"$25,000 under $50,000",301,10939
17535,"$50,000 under $75,000",139,8536
17535,"$75,000 under $100,000",77,6596
17535,"$100,000 under $200,000",95,16598
17535,"$200,000 or more",**,**
,,,
17536,,"1,114","54,517"
17536,"$1 under $25,000",458,5140
17536,"$25,000 under $50,000",256,9346
17536,"$50,000 under $75,000",153,9536
17536,"$75,000 under $100,000",107,9147
17536,"$100,000 under $200,000",140,21348
17536,"$200,000 or more",**,**
,,,
17538,,"3,151","191,857"
17538,"$1 under $25,000",1060,10484
17538,"$25,000 under $50,000",593,22001
17538,"$50,000 under $75,000",497,31228
17538,"$75,000 under $100,000",392,33960
17538,"$100,000 under $200,000",533,69687
17538,"$200,000 or more",** 76,"** 24,497"
,,,
17540,,"4,648","223,144"
17540,"$1 under $25,000",1855,21212
17540,"$25,000 under $50,000",1222,44455
17540,"$50,000 under $75,000",737,45412
17540,"$75,000 under $100,000",398,34621
17540,"$100,000 under $200,000",369,48125
17540,"$200,000 or more",67,29319
,,,
17543,,"20,200","1,356,673"
17543,"$1 under $25,000",6956,74308
17543,"$25,000 under $50,000",4293,157845
17543,"$50,000 under $75,000",3212,199321
17543,"$75,000 under $100,000",2258,194858
17543,"$100,000 under $200,000",2630,350359
17543,"$200,000 or more",851,379982
,,,
17545,,"10,470","562,460"
17545,"$1 under $25,000",3951,46120
17545,"$25,000 under $50,000",2460,89838
17545,"$50,000 under $75,000",1791,110870
17545,"$75,000 under $100,000",1061,91554
17545,"$100,000 under $200,000",985,127723
17545,"$200,000 or more",222,96355
,,,
17547,,"3,428","168,152"
17547,"$1 under $25,000",1083,13298
17547,"$25,000 under $50,000",961,35349
17547,"$50,000 under $75,000",651,40043
17547,"$75,000 under $100,000",420,36074
17547,"$100,000 under $200,000",290,36211
17547,"$200,000 or more",23,7177
,,,
17551,,"3,804","213,510"
17551,"$1 under $25,000",1427,15598
17551,"$25,000 under $50,000",796,29309
17551,"$50,000 under $75,000",606,37531
17551,"$75,000 under $100,000",409,35573
17551,"$100,000 under $200,000",462,60224
17551,"$200,000 or more",104,35275
,,,
17552,,"9,202","483,173"
17552,"$1 under $25,000",3093,37362
17552,"$25,000 under $50,000",2322,84998
17552,"$50,000 under $75,000",1600,98927
17552,"$75,000 under $100,000",1161,99902
17552,"$100,000 under $200,000",908,117068
17552,"$200,000 or more",118,44916
,,,
17554,,"3,759","182,547"
17554,"$1 under $25,000",1308,15464
17554,"$25,000 under $50,000",1018,37196
17554,"$50,000 under $75,000",644,39792
17554,"$75,000 under $100,000",403,34910
17554,"$100,000 under $200,000",351,44526
17554,"$200,000 or more",35,10659
,,,
17555,,"3,078","143,733"
17555,"$1 under $25,000",1200,13468
17555,"$25,000 under $50,000",792,29209
17555,"$50,000 under $75,000",519,32013
17555,"$75,000 under $100,000",296,25197
17555,"$100,000 under $200,000",234,30322
17555,"$200,000 or more",37,13524
,,,
17557,,"6,702","318,353"
17557,"$1 under $25,000",2628,30441
17557,"$25,000 under $50,000",1747,63416
17557,"$50,000 under $75,000",1133,69517
17557,"$75,000 under $100,000",615,52824
17557,"$100,000 under $200,000",472,59980
17557,"$200,000 or more",107,42175
,,,
17560,,"2,326","101,629"
17560,"$1 under $25,000",966,11442
17560,"$25,000 under $50,000",603,21603
17560,"$50,000 under $75,000",355,22079
17560,"$75,000 under $100,000",212,18293
17560,"$100,000 under $200,000",190,28212
17560,"$200,000 or more",**,**
,,,
17562,,"1,784","71,313"
17562,"$1 under $25,000",801,9557
17562,"$25,000 under $50,000",465,16935
17562,"$50,000 under $75,000",268,16169
17562,"$75,000 under $100,000",140,12126
17562,"$100,000 under $200,000",110,16526
17562,"$200,000 or more",**,**
,,,
17563,,"1,587","71,595"
17563,"$1 under $25,000",633,7367
17563,"$25,000 under $50,000",395,14322
17563,"$50,000 under $75,000",276,17018
17563,"$75,000 under $100,000",149,12760
17563,"$100,000 under $200,000",134,20128
17563,"$200,000 or more",**,**
,,,
17565,,"1,304","67,730"
17565,"$1 under $25,000",501,5443
17565,"$25,000 under $50,000",283,10392
17565,"$50,000 under $75,000",198,12301
17565,"$75,000 under $100,000",131,11201
17565,"$100,000 under $200,000",169,21871
17565,"$200,000 or more",** 22,"** 6,522"
,,,
17566,,"5,124","241,622"
17566,"$1 under $25,000",1964,23150
17566,"$25,000 under $50,000",1285,47324
17566,"$50,000 under $75,000",857,52864
17566,"$75,000 under $100,000",531,45969
17566,"$100,000 under $200,000",422,52933
17566,"$200,000 or more",65,19382
,,,
17569,,"2,753","157,463"
17569,"$1 under $25,000",918,9996
17569,"$25,000 under $50,000",612,22787
17569,"$50,000 under $75,000",545,33483
17569,"$75,000 under $100,000",315,27160
17569,"$100,000 under $200,000",297,38985
17569,"$200,000 or more",66,25052
,,,
17572,,"1,562","67,810"
17572,"$1 under $25,000",671,7623
17572,"$25,000 under $50,000",441,16073
17572,"$50,000 under $75,000",227,13812
17572,"$75,000 under $100,000",115,9813
17572,"$100,000 under $200,000",86,10747
17572,"$200,000 or more",22,9742
,,,
17576,,143,"6,906"
17576,"$1 under $25,000",48,574
17576,"$25,000 under $50,000",46,1526
17576,"$50,000 under $75,000",49,4806
17576,"$75,000 under $100,000",**,**
17576,"$100,000 under $200,000",**,**
17576,"$200,000 or more",**,**
,,,
17578,,2876,"150,215"
17578,"$1 under $25,000",1015,11299
17578,"$25,000 under $50,000",675,25106
17578,"$50,000 under $75,000",** 537,"** 32,852"
17578,"$75,000 under $100,000",** 331,"** 28,476"
17578,"$100,000 under $200,000",** 264,"** 34,218"
17578,"$200,000 or more",** 54,"** 18,264"
,,,
17579,,"2,888","151,407"
17579,"$1 under $25,000",1106,12235
17579,"$25,000 under $50,000",617,22339
17579,"$50,000 under $75,000",480,29582
17579,"$75,000 under $100,000",319,27473
17579,"$100,000 under $200,000",300,38485
17579,"$200,000 or more",66,21293
,,,
17581,,593,"26,659"
17581,"$1 under $25,000",221,2734
17581,"$25,000 under $50,000",160,5860
17581,"$50,000 under $75,000",110,6658
17581,"$75,000 under $100,000",66,5725
17581,"$100,000 under $200,000",36,5682
17581,"$200,000 or more",**,**
,,,
17582,,1045,"54,171"
17582,"$1 under $25,000",375,4267
17582,"$25,000 under $50,000",230,8252
17582,"$50,000 under $75,000",196,12188
17582,"$75,000 under $100,000",124,10652
17582,"$100,000 under $200,000",120,18812
17582,"$200,000 or more",**,**
,,,
17584,,"4,529","257,824"
17584,"$1 under $25,000",1539,16986
17584,"$25,000 under $50,000",999,36491
17584,"$50,000 under $75,000",755,46481
17584,"$75,000 under $100,000",588,51142
17584,"$100,000 under $200,000",550,71954
17584,"$200,000 or more",** 98,"** 34,770"
,,,
17601,,"25,881","1,729,522"
17601,"$1 under $25,000",8738,95537
17601,"$25,000 under $50,000",5968,218269
17601,"$50,000 under $75,000",3886,240436
17601,"$75,000 under $100,000",2760,238254
17601,"$100,000 under $200,000",3379,449568
17601,"$200,000 or more",1150,487458
,,,
17602,,"24,344","993,743"
17602,"$1 under $25,000",10999,136323
17602,"$25,000 under $50,000",7266,260721
17602,"$50,000 under $75,000",2846,174066
17602,"$75,000 under $100,000",1533,132008
17602,"$100,000 under $200,000",1421,183614
17602,"$200,000 or more",279,107011
,,,
17603,,"30,150","1,482,998"
17603,"$1 under $25,000",13320,163452
17603,"$25,000 under $50,000",8521,303715
17603,"$50,000 under $75,000",3963,242547
17603,"$75,000 under $100,000",2085,179296
17603,"$100,000 under $200,000",1770,231022
17603,"$200,000 or more",491,362966
,,,
17701,,"20,361","836,728"
17701,"$1 under $25,000",10491,128200
17701,"$25,000 under $50,000",4736,169078
17701,"$50,000 under $75,000",2442,148464
17701,"$75,000 under $100,000",1325,114100
17701,"$100,000 under $200,000",1083,140091
17701,"$200,000 or more",284,136795
,,,
17702,,"5,350","222,340"
17702,"$1 under $25,000",2289,27123
17702,"$25,000 under $50,000",1430,51826
17702,"$50,000 under $75,000",841,51998
17702,"$75,000 under $100,000",461,39960
17702,"$100,000 under $200,000",288,36201
17702,"$200,000 or more",41,15232
,,,
17724,,"2,114","91,404"
17724,"$1 under $25,000",913,10852
17724,"$25,000 under $50,000",551,20149
17724,"$50,000 under $75,000",335,20560
17724,"$75,000 under $100,000",168,14323
17724,"$100,000 under $200,000",124,15532
17724,"$200,000 or more",23,9988
,,,
17728,,"2,605","125,315"
17728,"$1 under $25,000",1049,11832
17728,"$25,000 under $50,000",585,21259
17728,"$50,000 under $75,000",442,27315
17728,"$75,000 under $100,000",254,21916
17728,"$100,000 under $200,000",237,29770
17728,"$200,000 or more",38,13223
,,,
17737,,"3,139","135,674"
17737,"$1 under $25,000",1253,14878
17737,"$25,000 under $50,000",878,31724
17737,"$50,000 under $75,000",486,30037
17737,"$75,000 under $100,000",273,23359
17737,"$100,000 under $200,000",229,28954
17737,"$200,000 or more",20,6722
,,,
17740,,"6,087","257,060"
17740,"$1 under $25,000",2500,29658
17740,"$25,000 under $50,000",1690,61190
17740,"$50,000 under $75,000",1051,64862
17740,"$75,000 under $100,000",467,39978
17740,"$100,000 under $200,000",335,42413
17740,"$200,000 or more",44,18959
,,,
17744,,"1,488","60,744"
17744,"$1 under $25,000",679,8036
17744,"$25,000 under $50,000",354,12835
17744,"$50,000 under $75,000",248,15330
17744,"$75,000 under $100,000",125,10682
17744,"$100,000 under $200,000",82,13861
17744,"$200,000 or more",**,**
,,,
17745,,"7,072","298,890"
17745,"$1 under $25,000",3254,38253
17745,"$25,000 under $50,000",1752,63060
17745,"$50,000 under $75,000",1006,62127
17745,"$75,000 under $100,000",555,48062
17745,"$100,000 under $200,000",439,56140
17745,"$200,000 or more",** 66,"** 31,248"
,,,
17747,,"1,181","50,037"
17747,"$1 under $25,000",486,6151
17747,"$25,000 under $50,000",317,11582
17747,"$50,000 under $75,000",206,12633
17747,"$75,000 under $100,000",105,9011
17747,"$100,000 under $200,000",67,10660
17747,"$200,000 or more",**,**
,,,
17751,,"3,366","142,765"
17751,"$1 under $25,000",1412,17002
17751,"$25,000 under $50,000",908,32501
17751,"$50,000 under $75,000",522,32263
17751,"$75,000 under $100,000",308,26336
17751,"$100,000 under $200,000",186,23688
17751,"$200,000 or more",** 30,"** 10,975"
,,,
17752,,"2,193","88,497"
17752,"$1 under $25,000",919,11328
17752,"$25,000 under $50,000",594,21471
17752,"$50,000 under $75,000",354,21685
17752,"$75,000 under $100,000",205,17535
17752,"$100,000 under $200,000",121,16478
17752,"$200,000 or more",**,**
,,,
17754,,"6,252","359,594"
17754,"$1 under $25,000",2389,27049
17754,"$25,000 under $50,000",1343,48575
17754,"$50,000 under $75,000",1072,66151
17754,"$75,000 under $100,000",637,55065
17754,"$100,000 under $200,000",624,80386
17754,"$200,000 or more",** 187,"** 82,368"
,,,
17756,,"5,528","265,695"
17756,"$1 under $25,000",2232,25914
17756,"$25,000 under $50,000",1423,51633
17756,"$50,000 under $75,000",925,56934
17756,"$75,000 under $100,000",480,41485
17756,"$100,000 under $200,000",399,51183
17756,"$200,000 or more",69,38546
,,,
17758,,484,"31,295"
17758,"$1 under $25,000",215,2469
17758,"$25,000 under $50,000",114,4071
17758,"$50,000 under $75,000",72,4403
17758,"$75,000 under $100,000",46,3965
17758,"$100,000 under $200,000",37,16387
17758,"$200,000 or more",**,**
,,,
17760,,270,"12,208"
17760,"$1 under $25,000",107,1384
17760,"$25,000 under $50,000",71,2635
17760,"$50,000 under $75,000",49,3006
17760,"$75,000 under $100,000",43,5183
17760,"$100,000 under $200,000",**,**
17760,"$200,000 or more",**,**
,,,
17764,,960,"33,595"
17764,"$1 under $25,000",447,5400
17764,"$25,000 under $50,000",283,10277
17764,"$50,000 under $75,000",120,7288
