PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
15065,"$25,000 under $50,000",1502,54632
15065,"$50,000 under $75,000",894,54945
15065,"$75,000 under $100,000",555,47467
15065,"$100,000 under $200,000",411,52560
15065,"$200,000 or more",68,48069
,,,
15066,,"5,995","234,305"
15066,"$1 under $25,000",2709,32505
15066,"$25,000 under $50,000",1588,57149
15066,"$50,000 under $75,000",850,52328
15066,"$75,000 under $100,000",482,41368
15066,"$100,000 under $200,000",335,41524
15066,"$200,000 or more",31,9431
,,,
15067,,"1,098","41,644"
15067,"$1 under $25,000",469,5762
15067,"$25,000 under $50,000",335,11952
15067,"$50,000 under $75,000",141,8667
15067,"$75,000 under $100,000",100,8715
15067,"$100,000 under $200,000",53,6548
15067,"$200,000 or more",**,**
,,,
15068,,"19,454","888,221"
15068,"$1 under $25,000",8261,94000
15068,"$25,000 under $50,000",4697,168802
15068,"$50,000 under $75,000",2870,176397
15068,"$75,000 under $100,000",1746,150466
15068,"$100,000 under $200,000",1643,212322
15068,"$200,000 or more",237,86234
,,,
15071,,"5,155","308,560"
15071,"$1 under $25,000",1706,19629
15071,"$25,000 under $50,000",1253,45445
15071,"$50,000 under $75,000",771,47519
15071,"$75,000 under $100,000",556,48097
15071,"$100,000 under $200,000",726,94169
15071,"$200,000 or more",143,53701
,,,
15074,,"4,584","175,278"
15074,"$1 under $25,000",2113,25295
15074,"$25,000 under $50,000",1250,45245
15074,"$50,000 under $75,000",630,38400
15074,"$75,000 under $100,000",340,29254
15074,"$100,000 under $200,000",226,28311
15074,"$200,000 or more",25,8773
,,,
15076,,510,"19,818"
15076,"$1 under $25,000",229,2687
15076,"$25,000 under $50,000",145,5254
15076,"$50,000 under $75,000",83,4988
15076,"$75,000 under $100,000",53,6889
15076,"$100,000 under $200,000",**,**
15076,"$200,000 or more",**,**
,,,
15078,,277,"11,393"
15078,"$1 under $25,000",118,1597
15078,"$25,000 under $50,000",79,2742
15078,"$50,000 under $75,000",41,2510
15078,"$75,000 under $100,000",39,4544
15078,"$100,000 under $200,000",**,**
15078,"$200,000 or more",**,**
,,,
15083,,485,"20,179"
15083,"$1 under $25,000",214,2537
15083,"$25,000 under $50,000",127,4462
15083,"$50,000 under $75,000",69,4282
15083,"$75,000 under $100,000",43,3696
15083,"$100,000 under $200,000",32,5202
15083,"$200,000 or more",**,**
,,,
15084,,"4,845","195,721"
15084,"$1 under $25,000",2096,26249
15084,"$25,000 under $50,000",1379,49502
15084,"$50,000 under $75,000",686,42024
15084,"$75,000 under $100,000",377,32441
15084,"$100,000 under $200,000",272,34109
15084,"$200,000 or more",35,11396
,,,
15085,,"4,058","213,665"
15085,"$1 under $25,000",1542,17478
15085,"$25,000 under $50,000",896,33030
15085,"$50,000 under $75,000",674,41643
15085,"$75,000 under $100,000",405,34884
15085,"$100,000 under $200,000",460,59546
15085,"$200,000 or more",81,27084
,,,
15086,,188,"15,198"
15086,"$1 under $25,000",61,583
15086,"$25,000 under $50,000",35,1344
15086,"$50,000 under $75,000",43,3056
15086,"$75,000 under $100,000",**,**
15086,"$100,000 under $200,000",49,10215
15086,"$200,000 or more",**,**
,,,
15089,,"3,172","139,136"
15089,"$1 under $25,000",1307,15355
15089,"$25,000 under $50,000",790,29050
15089,"$50,000 under $75,000",496,30634
15089,"$75,000 under $100,000",303,26177
15089,"$100,000 under $200,000",276,37920
15089,"$200,000 or more",**,**
,,,
15090,,"10,492","1,320,652"
15090,"$1 under $25,000",3045,25858
15090,"$25,000 under $50,000",1358,50296
15090,"$50,000 under $75,000",1150,71467
15090,"$75,000 under $100,000",970,84337
15090,"$100,000 under $200,000",2428,342590
15090,"$200,000 or more",1541,746104
,,,
15101,,"12,404","1,104,513"
15101,"$1 under $25,000",3940,41178
15101,"$25,000 under $50,000",2302,85409
15101,"$50,000 under $75,000",1737,107676
15101,"$75,000 under $100,000",1446,125747
15101,"$100,000 under $200,000",2208,296110
15101,"$200,000 or more",771,448393
,,,
15102,,"15,646","984,196"
15102,"$1 under $25,000",5269,55656
15102,"$25,000 under $50,000",3077,112513
15102,"$50,000 under $75,000",2408,148954
15102,"$75,000 under $100,000",1915,166497
15102,"$100,000 under $200,000",2540,334151
15102,"$200,000 or more",437,166425
,,,
15104,,"3,836","96,968"
15104,"$1 under $25,000",2397,28801
15104,"$25,000 under $50,000",974,33439
15104,"$50,000 under $75,000",297,17927
15104,"$75,000 under $100,000",113,9699
15104,"$100,000 under $200,000",55,7102
15104,"$200,000 or more",**,**
,,,
15106,,"9,944","503,632"
15106,"$1 under $25,000",4025,49278
15106,"$25,000 under $50,000",2755,99550
15106,"$50,000 under $75,000",1444,88546
15106,"$75,000 under $100,000",873,75107
15106,"$100,000 under $200,000",708,92758
15106,"$200,000 or more",139,98393
,,,
15108,,"20,181","1,306,061"
15108,"$1 under $25,000",6794,76360
15108,"$25,000 under $50,000",4390,160374
15108,"$50,000 under $75,000",2976,184001
15108,"$75,000 under $100,000",2281,198031
15108,"$100,000 under $200,000",3037,408534
15108,"$200,000 or more",703,278761
,,,
15110,,"2,245","56,951"
15110,"$1 under $25,000",1399,16497
15110,"$25,000 under $50,000",552,18870
15110,"$50,000 under $75,000",176,10532
15110,"$75,000 under $100,000",90,7565
15110,"$100,000 under $200,000",28,3487
15110,"$200,000 or more",**,**
,,,
15112,,"1,568","51,018"
15112,"$1 under $25,000",794,10258
15112,"$25,000 under $50,000",456,16211
15112,"$50,000 under $75,000",186,11263
15112,"$75,000 under $100,000",80,6807
15112,"$100,000 under $200,000",52,6479
15112,"$200,000 or more",**,**
,,,
15116,,"7,784","476,105"
15116,"$1 under $25,000",2557,27990
15116,"$25,000 under $50,000",1674,61735
15116,"$50,000 under $75,000",1246,77328
15116,"$75,000 under $100,000",971,83763
15116,"$100,000 under $200,000",1135,146959
15116,"$200,000 or more",201,78330
,,,
15120,,"9,482","369,080"
15120,"$1 under $25,000",4364,52858
15120,"$25,000 under $50,000",2546,90407
15120,"$50,000 under $75,000",1187,72755
15120,"$75,000 under $100,000",775,66734
15120,"$100,000 under $200,000",561,70308
15120,"$200,000 or more",49,16018
,,,
15122,,"10,473","435,176"
15122,"$1 under $25,000",4418,51983
15122,"$25,000 under $50,000",2702,97836
15122,"$50,000 under $75,000",1639,101026
15122,"$75,000 under $100,000",967,83069
15122,"$100,000 under $200,000",705,88167
15122,"$200,000 or more",42,13095
,,,
15126,,"3,681","196,537"
15126,"$1 under $25,000",1306,15015
15126,"$25,000 under $50,000",846,31247
15126,"$50,000 under $75,000",602,37239
15126,"$75,000 under $100,000",420,36425
15126,"$100,000 under $200,000",448,58415
15126,"$200,000 or more",59,18196
,,,
15129,,"5,777","320,003"
15129,"$1 under $25,000",1988,22640
15129,"$25,000 under $50,000",1298,47141
15129,"$50,000 under $75,000",888,55219
15129,"$75,000 under $100,000",716,61928
15129,"$100,000 under $200,000",791,102955
15129,"$200,000 or more",96,30120
,,,
15131,,"4,487","210,434"
15131,"$1 under $25,000",1712,20172
15131,"$25,000 under $50,000",1162,42182
15131,"$50,000 under $75,000",747,46164
15131,"$75,000 under $100,000",467,40209
15131,"$100,000 under $200,000",361,45646
15131,"$200,000 or more",38,16061
,,,
15132,,"8,991","270,135"
15132,"$1 under $25,000",5012,60437
15132,"$25,000 under $50,000",2336,81754
15132,"$50,000 under $75,000",1018,61909
15132,"$75,000 under $100,000",405,34684
15132,"$100,000 under $200,000",220,31351
15132,"$200,000 or more",**,**
,,,
15133,,"3,367","132,781"
15133,"$1 under $25,000",1372,16459
15133,"$25,000 under $50,000",995,35575
15133,"$50,000 under $75,000",565,34779
15133,"$75,000 under $100,000",279,23871
15133,"$100,000 under $200,000",156,22097
15133,"$200,000 or more",**,**
,,,
15135,,"2,548","135,448"
15135,"$1 under $25,000",920,10704
15135,"$25,000 under $50,000",624,22927
15135,"$50,000 under $75,000",411,25369
15135,"$75,000 under $100,000",282,24318
15135,"$100,000 under $200,000",263,34415
15135,"$200,000 or more",48,17715
,,,
15136,,"11,192","504,776"
15136,"$1 under $25,000",5090,60232
15136,"$25,000 under $50,000",2781,99451
15136,"$50,000 under $75,000",1369,84374
15136,"$75,000 under $100,000",813,70281
15136,"$100,000 under $200,000",939,123224
15136,"$200,000 or more",200,67214
,,,
15137,,"5,266","202,389"
15137,"$1 under $25,000",2339,28687
15137,"$25,000 under $50,000",1474,52967
15137,"$50,000 under $75,000",797,48918
15137,"$75,000 under $100,000",397,34018
15137,"$100,000 under $200,000",259,37799
15137,"$200,000 or more",**,**
,,,
15139,,"3,517","228,208"
15139,"$1 under $25,000",1240,14047
15139,"$25,000 under $50,000",840,30960
15139,"$50,000 under $75,000",497,30550
15139,"$75,000 under $100,000",328,28306
15139,"$100,000 under $200,000",459,62003
15139,"$200,000 or more",153,62342
,,,
15140,,"1,505","44,713"
15140,"$1 under $25,000",841,10462
15140,"$25,000 under $50,000",401,14238
15140,"$50,000 under $75,000",163,10124
15140,"$75,000 under $100,000",66,5679
15140,"$100,000 under $200,000",34,4210
15140,"$200,000 or more",**,**
,,,
15142,,"1,028","265,862"
15142,"$1 under $25,000",210,2193
15142,"$25,000 under $50,000",182,6895
15142,"$50,000 under $75,000",130,7956
15142,"$75,000 under $100,000",66,5772
15142,"$100,000 under $200,000",183,26451
15142,"$200,000 or more",257,216595
,,,
15143,,"9,508","1,461,194"
15143,"$1 under $25,000",2769,27323
15143,"$25,000 under $50,000",1518,55226
15143,"$50,000 under $75,000",1126,69481
15143,"$75,000 under $100,000",941,82039
15143,"$100,000 under $200,000",1722,240612
15143,"$200,000 or more",1432,986513
,,,
15144,,"2,242","89,407"
15144,"$1 under $25,000",968,11663
15144,"$25,000 under $50,000",579,21010
15144,"$50,000 under $75,000",363,22166
15144,"$75,000 under $100,000",199,17117
15144,"$100,000 under $200,000",133,17451
15144,"$200,000 or more",**,**
,,,
15145,,"3,634","121,777"
15145,"$1 under $25,000",1811,22504
15145,"$25,000 under $50,000",1096,38517
15145,"$50,000 under $75,000",429,26158
15145,"$75,000 under $100,000",171,14814
15145,"$100,000 under $200,000",127,19784
15145,"$200,000 or more",**,**
,,,
15146,,"15,147","809,077"
15146,"$1 under $25,000",5483,62706
15146,"$25,000 under $50,000",3654,133332
15146,"$50,000 under $75,000",2397,148116
15146,"$75,000 under $100,000",1586,137134
15146,"$100,000 under $200,000",1707,220859
15146,"$200,000 or more",320,106930
,,,
15147,,"8,939","378,355"
15147,"$1 under $25,000",3643,44687
15147,"$25,000 under $50,000",2536,91554
15147,"$50,000 under $75,000",1369,84083
15147,"$75,000 under $100,000",769,65810
15147,"$100,000 under $200,000",558,70775
15147,"$200,000 or more",64,21446
,,,
15148,,"1,185","34,380"
15148,"$1 under $25,000",656,8355
15148,"$25,000 under $50,000",341,12013
15148,"$50,000 under $75,000",133,8137
15148,"$75,000 under $100,000",55,5875
15148,"$100,000 under $200,000",**,**
15148,"$200,000 or more",**,**
,,,
15201,,"6,835","249,271"
15201,"$1 under $25,000",3205,41036
15201,"$25,000 under $50,000",2002,70712
15201,"$50,000 under $75,000",868,52689
15201,"$75,000 under $100,000",413,35426
15201,"$100,000 under $200,000",317,39977
15201,"$200,000 or more",30,9431
,,,
15202,,"10,655","481,512"
15202,"$1 under $25,000",4373,54546
15202,"$25,000 under $50,000",3110,112046
15202,"$50,000 under $75,000",1525,93545
15202,"$75,000 under $100,000",801,68658
15202,"$100,000 under $200,000",691,91001
15202,"$200,000 or more",155,61716
,,,
15203,,"4,984","262,197"
15203,"$1 under $25,000",1973,24958
15203,"$25,000 under $50,000",1517,55201
15203,"$50,000 under $75,000",716,43745
15203,"$75,000 under $100,000",306,26262
15203,"$100,000 under $200,000",354,48258
15203,"$200,000 or more",118,63773
,,,
15204,,"3,917","133,731"
15204,"$1 under $25,000",1887,23769
15204,"$25,000 under $50,000",1134,40209
15204,"$50,000 under $75,000",501,30222
15204,"$75,000 under $100,000",247,21071
15204,"$100,000 under $200,000",148,18460
15204,"$200,000 or more",**,**
,,,
15205,,"11,984","578,849"
15205,"$1 under $25,000",4607,55797
15205,"$25,000 under $50,000",3382,121898
15205,"$50,000 under $75,000",1898,116321
15205,"$75,000 under $100,000",1012,87752
15205,"$100,000 under $200,000",908,119656
15205,"$200,000 or more",177,77425
,,,
15206,,"13,888","666,722"
15206,"$1 under $25,000",6495,82046
15206,"$25,000 under $50,000",3827,135631
15206,"$50,000 under $75,000",1497,90709
15206,"$75,000 under $100,000",781,67138
15206,"$100,000 under $200,000",914,123418
15206,"$200,000 or more",374,167780
,,,
15207,,"5,493","196,989"
15207,"$1 under $25,000",2626,32481
15207,"$25,000 under $50,000",1519,54285
15207,"$50,000 under $75,000",734,44700
15207,"$75,000 under $100,000",370,31649
15207,"$100,000 under $200,000",224,28061
15207,"$200,000 or more",** 20,"** 5,813"
,,,
15208,,"4,785","270,997"
15208,"$1 under $25,000",2437,27946
15208,"$25,000 under $50,000",1092,38424
15208,"$50,000 under $75,000",396,24327
15208,"$75,000 under $100,000",216,18583
15208,"$100,000 under $200,000",370,52364
15208,"$200,000 or more",274,109353
,,,
15209,,"6,614","317,761"
15209,"$1 under $25,000",2541,30637
15209,"$25,000 under $50,000",1684,61193
15209,"$50,000 under $75,000",1069,65769
15209,"$75,000 under $100,000",613,52792
15209,"$100,000 under $200,000",645,84621
15209,"$200,000 or more",62,22749
,,,
15210,,"12,007","371,633"
15210,"$1 under $25,000",6439,80272
15210,"$25,000 under $50,000",3341,117900
15210,"$50,000 under $75,000",1314,80204
15210,"$75,000 under $100,000",571,48668
15210,"$100,000 under $200,000",342,44589
15210,"$200,000 or more",**,**
,,,
15211,,"6,176","296,588"
15211,"$1 under $25,000",2635,34636
15211,"$25,000 under $50,000",1933,69152
15211,"$50,000 under $75,000",732,44500
15211,"$75,000 under $100,000",390,33385
15211,"$100,000 under $200,000",363,48665
15211,"$200,000 or more",123,66250
,,,
15212,,"13,606","527,046"
15212,"$1 under $25,000",6361,79014
15212,"$25,000 under $50,000",3834,137036
15212,"$50,000 under $75,000",1739,105694
15212,"$75,000 under $100,000",856,73801
15212,"$100,000 under $200,000",705,90651
15212,"$200,000 or more",111,40850
,,,
15213,,"6,496","365,100"
15213,"$1 under $25,000",3442,40721
15213,"$25,000 under $50,000",1479,52178
15213,"$50,000 under $75,000",558,33679
15213,"$75,000 under $100,000",324,27720
15213,"$100,000 under $200,000",386,52824
15213,"$200,000 or more",307,157978
,,,
15214,,"6,877","258,721"
15214,"$1 under $25,000",3216,38260
15214,"$25,000 under $50,000",1907,67720
15214,"$50,000 under $75,000",818,49831
15214,"$75,000 under $100,000",537,46186
15214,"$100,000 under $200,000",366,45651
15214,"$200,000 or more",33,11073
,,,
15215,,"6,437","784,173"
15215,"$1 under $25,000",2436,27059
15215,"$25,000 under $50,000",1479,53502
15215,"$50,000 under $75,000",772,47537
15215,"$75,000 under $100,000",482,41635
15215,"$100,000 under $200,000",729,101936
15215,"$200,000 or more",539,512504
,,,
15216,,"12,323","611,698"
15216,"$1 under $25,000",4787,59216
15216,"$25,000 under $50,000",3438,125241
15216,"$50,000 under $75,000",1774,108683
15216,"$75,000 under $100,000",1048,90541
15216,"$100,000 under $200,000",1040,137563
15216,"$200,000 or more",236,90454
,,,
15217,,"12,797","1,189,400"
15217,"$1 under $25,000",4554,51865
15217,"$25,000 under $50,000",2590,93547
